改造にあたって、Data Crystalの資料を参照しています。
7A 何もなし？(ObjectIDが00に設定されているので多分未使用)
7B 何もなし？(ObjectIDが00に設定されているので多分未使用)
7C 何もなし？(ObjectIDが00に設定されているので多分未使用)
7D 何もなし？(ObjectIDが00に設定されているので多分未使用)
7E 何もなし？(ObjectIDが00に設定されているので多分未使用)
7F ギリー

80 エディー
81 Ｅ缶
82 Ｍ缶
83 1UP
84 ライフエネルギー回復大
85 ライフエネルギー回復小
86 武器エネルギー回復大
87 武器エネルギー回復小
88 Ｒプレート
89 Ｏプレート
8A Ｃプレート
8B Ｋプレート
8C Ｍプレート
8D Ａプレート
8E Ｎプレート
8F ５プレート

90-BF 定義なし

C0-FF Effect Enemy
  
---------------------------------------------------------------

オブジェクト設置データに基づきオブジェクトの生成が行われる際に、参照されるオブジェクトの初期値データです。

$37A52～37AE1 (90) = EnemyID: Display flags
主にオブジェクトが画面にどのように表示されるかを決める。

　bit7 -> 出現時、オブジェクトの向きに関係なくグラフィックを左右反転させない(例えば、E缶など常に同じ向きに出現させたい場合に使用)
　bit6 -> グラフィックを上下反転させる
　bit5 -> グラフィックを左右反転させる
　bit4 -> 背景に隠れる
　bit3 -> 画面外に出たときそのオブジェクトを破壊しない
　bit2 -> 不可視
　bit1 -> ブロックになる(そのオブジェクトを通り抜けられなくなり上に乗れるようになる、例えばブーンブロックはこの属性を持つ)
　bit0 -> 足場になる(そのオブジェクトの上に乗れるようになる、例えばダイダインはこの属性を持つ)


$37AE2～37B71 (90) = EnemyID: ObjectID(Sprite type)
EnemyID→ObjectIDへの変換表。

$37B72～37C01 (90) = EnemyID: Type Bits(Sprite flags)
ロックマンに対する当たり判定の有無、武器に対する当たり判定の有無、当たり判定の大きさを決める。

　bit7 -> ロックマンに対して当たり判定あり(そのオブジェクトに触れるとダメージを受ける)
　bit6 -> 武器に対して当たり判定あり
　bit5-0 -> 当たり判定の大きさ(参照番号、$00～3F)


$37C02～37C91 (90) = EnemyID: SpriteID(Animation)
オブジェクトのグラフィックをアニメーション番号で指定する。

$37C92～37D21 (90) = EnemyID: Hit Points(Life)
オブジェクトのHP。

$37D22～37DB1 (90) = EnemyID: X方向速度テーブルの参照番号(00～07)
オブジェクトのデフォルトのX方向速度を指定する(下記を参照)。
Y方向速度はFF.00(-1)が勝手にセットされる。

・X方向速度テーブル
$37DB2～37DB9 (8) = 参照番号 : X方向速度(low)
$37DBA～37DC1 (8) = 参照番号 : X方向速度(high)

以下、テーブルの中身
00 01.00
01 00.CC
02 01.33
03 02.00
04 01.80
05 00.80
06 04.00
07 03.00

--------------------------------------------

Effect Enemyは、EnemyIDが$C0～FFのものを指し、BGパレットやBGバンクの変更に用いられます。
また、Effect Enemyはオブジェクトメモリにオブジェクトを生成しません。

$37DC2～37DF1 (30) = Effect Enemy ID: Reference Data 1
$37DF2～37E21 (30) = Effect Enemy ID: Reference Data 2 
$37E22～37E65 (44) = Effect Enemy Data: Extra Palette Data 
$37E66～37E7F (1A) = Effect Enemy Data: CHR Bank Data 

Data Crystalの資料には、上のように書かれている。
Effect Enemy IDは、EnemyIDの$C0番を0番と数えたときの値である。
Reference Data 1,2の値(以下、Ref1,Ref2と記する)によって、 各々のEffect Enemyが何を変更するのか決まる。
Ref1,Ref2の値 	効果
Ref1 ≧ $80 	BGアニメーションの変更
$10 ≦ Ref1 ＜ $80 	BGバンクの変更
Ref1 ＜ $10 かつ Ref2 ≧ $80 	BGパレットアニメーションの変更
Ref1 ＜ $10 かつ Ref2 ＜ $80 	BGパレットの変更(BGバンクの変更を含む場合あり)

・BGアニメーションの変更
　番号Ref1のBGアニメーションをさせる。

・BGバンクの変更
　CHR Bank DataのRef1番のBGバンク定義を読み込み。

・BGパレットアニメーションの変更(ここで言うパレットの番号は4色1組で数えたのもの。00,01,02,03)
　番号Ref1のパレットに、番号Ref2(最上位bitは無視)のパレットアニメーションをさせる。

・BGパレットの変更(ここで言うパレットの番号は1色ずつ数えたときのもの。00,04,08,0C)
　番号(Ref1 + 1)～(Ref + 3)のパレットに、Extra Palette DataのRef2番のパレット定義を読み込み。

◇Extra Palette Data
　4bytesで1組のパレット, $44 / 4 = $11 = 17種類。
　byte 0 -> BGバンクの変更(この値をRef1として下を参照、00で変更なし)
　byte 1-3 -> パレットの色(透明色は省略)

◇CHR Bank Data
　2bytesで1組のデータ。BGバンク番号が並んでいる。

----------------------------------------------------------------

ObjectID(Sprite type)は、ステージのデザイン時に使用するEnemyIDとは異なり、 ゲーム中のオブジェクトの管理に用いる番号です。

00 何もなし(オブジェクトメモリ未使用)
01 ブーンブロック等いろいろ
02 ラッシュコイル
03 ティウンの玉？
04 チャージマンステージの電車内に入る
05 ウェーブマンステージのパイプに入る
06 重力反転(↓|↑)
07 重力反転(↑|↓)
08 重力反転(↑/↓)
09 天井が上下する
0A 床が上昇する(ジャイロマンステージの最初)
0B 床が上昇する(ジャイロマンステージの終盤)
0C 落ちるブロック？
0D ウェーブマンステージの乗れる泡
0E ウェーブマンステージの乗れる泡(生成機)
0F 床・天井が上下する

10 プカプッカー
11 プカプッカーの頭
12 コーカーQ
13 ボンビャー
14 ボンビャーの爆弾
15 スペースメットール
16 スマトラン
17 マウスベール
18 新シールドアタッカー
19 レンバクン
1A レンバクンの爆弾
1B メットール砲台
1C メットール砲台の出す弾
1D メットールK-1000
1E 何もしない？
1F V(ブイ)

20 パワーマッスラー
21 アパッチジョー
22 エディー
23 鉄キューン
24 ミザイル(生成機)
25 ミザイル
26 落下するクリスタル
27 ウェーブマンステージの噴き出す水
28 グラビットン
29 グラビットンの出す弾
2A クリスタルジョー
2B タテパッカン
2C タテパッカンの出す弾
2D クリスタルジョーの出すクリスタル
2E ダイダイン
2F ボンバースローンの玉の爆発

30 オクトーパーOA・ワイリーステージボスの爆発
31 フージーン
32 フージーンの出す弾
33 ボンバースローン
34 ボンバースローンの出す玉
35 ライダージョー
36 スージーG
37 ライダージョーの出す弾
38 スターマンステージの隕石(隕石を生成)
39 スターマンステージの隕石
3A ノビータ
3B バウンダー
3C バウンダーの出す弾
3D ギリー
3E トスマシーン
3F トスマシーンの出す弾

40 ローリングドリル
41 背景の上部がスクロールする(水上スキーの背景みたく)
42 水上バイク
43 EnemyID 4F 見えない敵？
44 オクトーパーOA
45 ラッシュジェット
46 弾かれた武器(バスター、ジャイロアタックetc)
47 EnemyID 51 何もなし？・ワイリーカプセルの地面を這う弾
48 EnemyID 52～54 何かの台？
49 EnemyID 55
4A ブルースステージ3の進むブロック足場
4B ブルースステージ3の進むブロック足場
4C ブーンブロック(ブロックを生成)
4D
4E オクトーパーOAの弾
4F ビッグペッツ？

50 メットール・マミー
51 メットール・マミーの出す弾
52 コッココロコロの歩く卵
53 スベール
54 トンデオール
55 アパッチジョーの出す弾・メットールK-1000の出す弾・ターバンの出す弾
56 ターバン
57 エディーの出したアイテム
58 スージーGの出す弾
59 ユードーン
5A ジェットボム
5B ジェットボムの破片
5C ラウンダー
5D コッココロコロ
5E ロックスローンの岩が砕ける
5F イルカーン

60 B・ビッター
61 B・ビッターの出す弾
62 ユードーンのミサイル
63 ひらりあん427
64 ツインキャノン
65 ツインキャノンの出す弾(速い方)
66 プカペリー
67 カモーン
68 リリック
69 ストーンマン
6A ストーンマンのパワーストーン
6B チャージマン
6C チャージマンの石炭を出す前の上る煙・チャージマンの落とす石炭
6D ジャイロマンの飛び上がるときの地面のエフェクト？・チャージマンの煙突の煙・L缶
6E ジャイロマン
6F ジャイロマンのプロペラ　→・[停止]・↑

70 ロックバスター、スーパーロックバスター？
71 ビッグペッツの胸
72 ナパームボム(ロックマン使用)
73 クリスタルアイ(ロックマン使用)
74 ジャイロアタック(ロックマン使用)
75 ウォーターウェーブ(ロックマン使用)
76 スーパーアロー
77 スタークラッシュ(ロックマン使用)
78 パワーストーン(ロックマン使用)
79 ビート
7A ビッグペッツの胴体
7B
7C サークリングQ9
7D サークリングQ9の足場
7E サークリングQ9の大弾
7F サークリングQ9の弾

80 ジャイロマンのプロペラ　↓・[停止]・→
81 グラビティーマン
82 グラビティーマンの出す弾
83 クリスタルマン
84 クリスタルマンの反射する弾
85 クリスタルマンの通常弾
86 ウェーブマン
87 ウェーブマンのモリ
88 ウェーブマンの吹き出る水
89 ナパームマン
8A ナパームマンの横に飛ぶ弾
8B ナパームマンの手投げ弾
8C ナパームマンの武器の爆発
8D スターマン
8E スタークラッシュ(スターマン使用)
8F

90
91 ダークマン2号
92 ダークマン2号のバリア
93 ダークマン3号
94 ダークマン3号の弾
95 ダークマン3号の石化弾
96 ダークマン1号
97
98 ダークマン4号
99 ダークマン4号のバリア
9A ダークマン4号の弾
9B ツインキャノンの出す弾(遅い方)
9C ダチョーン
9D ダチョーンの出すレーザー
9E メットール・スイム
9F

A0 ワイリープレス
A1 ワイリープレスの何か
A2 偽ブルース・ダークマン4号？
A3 偽ブルース・ブルースの弾
A4 ブルース
A5 ワイリーマシン5号
A6 ワイリーマシン5号の吸い込み
A7 ワイリーマシン5号の青弾
A8 ワイリーマシン5号のミサイル
A9
AA ワイリーカプセル
AB ワイリーカプセルの回る弾
AC
AD
AE
AF ワープする？

B0 ワープするライフエネルギー回復？(ボスラッシュ時のボスが落とす)
B1
B2 ワイリーマシン5号の何か
B3 EnemyID 62～6C ８体ボス＋ダークマン1,2,3号
B4 8ボス+ダークマン1,2,3,4号撃破後の演出処理
B5 偽ブルース→ダークマン4号
B6 EnemyID 81～8F E缶、M缶、ライフ・武器エネルギー回復、ROCKMAN5各プレート
B7 敵の落としたアイテム？
B8 敵を倒した瞬間の爆発？
B9 ライト博士
BA
BB
BC
BD ロックスローン
BE ロックスローンの出す岩
BF

C0
C1
C2 ナパームボムの爆風
C3
C4 メットール・マミーの子供
C5 グラビティーホールド
C6 グラビティーホールドで倒した敵(sprite dataのバンクが#$12)
C7 グラビティーホールドで倒した敵(sprite dataのバンクが#$14)
C8 グラビティーホールドで倒した敵(sprite dataのバンクが#$16)
C9 多分未使用
CA 多分未使用
CB 多分未使用
CC 多分未使用
CD 多分未使用
CE 多分未使用
CF 多分未使用
  
----------------------------

各種武器がオブジェクトに与えるダメージ、またオブジェクトがロックマンに与えるダメージに関する記述です。

◇ロックバスターが有効かどうか
$810～90F (100) = ObjectID: ロックバスターが有効かどうか(01 -> 有効、 00 -> 無効)

◇特殊武器が与えるダメージ(ObjectID: ダメージ値)
$2810～290F ウォーターウェーブ
$4810～490F ジャイロアタック
$6810～690F クリスタルアイ
$8810～890F ナパームボム
$A810～A90F スーパーアロー
$C810～C90F パワーストーン
$E810～E90F グラビティーホールド
$10810～1090F チャージキック
$12810～1290F スタークラッシュ
$14810～1490F ラッシュコイル(ロックマンのバスター)
$16810～1690F ラッシュジェット(ロックマンのバスター)
$18810～1890F ビート

ウォーターウェーブ・スタークラッシュに関しては、80を指定すると接触したオブジェクトをHP関係なく消滅させる。
また、チャージキックに関しては、80を指定するとチャージキック中でもロックマンがダメージを受ける。

◇オブジェクトのType Bits(Sprite flags)の6bit目(shield属性)との関係

武器ダメージ=0 & shield属性=0 -> 攻撃すり抜け
武器ダメージ=0 & shield属性=1 -> 攻撃を弾く
武器ダメージ>0 & shield属性=0 -> 攻撃を弾く
武器ダメージ>0 & shield属性=1 -> ダメージ

◇オブジェクトとの接触時、ロックマンが受けるダメージ
$385D3～386D2 (100) = ObjectID: ダメージ値

------------------------------------------------------------

全エネルギー満タン時にM缶を使用した場合に1UPに変わるオブジェクトの指定です。

◇M缶を使用したときに1UPに変わるオブジェクト
$103F8～104F7 (100) = ObjectID : 1UPに変わるか(00 or B6)

1UPに変わるならB6、変わらないなら00を指定する(B6は設置型アイテムを表すObjectID)。

--------------------------------------------------------------

各種武器のエネルギー消費量を表します。

$36121 チャージキック
$3729E ジャイロアタック・クリスタルアイ(共有)
$373EA ナパームボム
$37342 ウォーターウェーブ
$37486 パワーストーン
$374DB グラビティーホールド
$382AB ビート
$3B1F3 ラッシュコイル

◇スタークラッシュ
$3825F 装備中に敵の弾などに当たって消えるとき
$3B660 発射したとき

◇スーパーアロー
$37398 発射時
$3B599 アローに乗っているとき、1メモリが減るまでのフレーム数
$3B59E アローに乗っているとき、一度に減らすエネルギー量

◇ラッシュジェット
$3B2CD 乗ってから最初の1メモリが減るまでのフレーム数
$3B2D7 1メモリが減るまでのフレーム数
$3B2DC 一度に減らすエネルギー量

---------------------------------------------------------------------

エディーが出すアイテムや、敵が落とすアイテムを表します。

◇エディーの出すアイテム
$3ADD4～3ADDB
8bytes並んだデータ(アニメーション番号で指定)、この中からランダムで選択される。

・アニメーション番号(以下16進数)
72 E缶
73 M缶
74 ライフエネルギー回復大
75 ライフエネルギー回復小
76 武器エネルギー回復大
77 武器エネルギー回復小
78 1UP
79～80 各ROCKMAN5プレート


◇敵の落とすアイテム
敵撃破時に$00以上$32未満(?)の擬似乱数を発生させてドロップ範囲内にあるアイテムを落とす。

$3AE89 発生させる擬似乱数の上限？
$3AF2B～$3AF2F ドロップ範囲
$3AF30～$3AF34 ドロップアイテム(アニメーション番号で指定、上を参照)

本家では以下のように設定されている。
    02  03      08   0A     0E
---+---+-------+----+------+------
 76| 78|   75  |  74|   77 |  落とさない

この場合、発生させた擬似乱数の値に対して、

$00～01 76(武器エネルギー回復大)
$02     78(1UP)
$03～07 75(ライフエネルギー回復小)
$08～09 74(ライフエネルギー回復大)
$0A～0D 77(武器エネルギー回復小)
$0E～   落とさない

となる。

--------------------------------------------------------------------

当たり判定の大きさに関する記述です。
◇ロックマンとオブジェクトとの当たり判定

$3F101～3F140 (40) = 当たり判定参照番号 : X方向の当たり判定値
$3F0C1～3F100 (40) = 当たり判定参照番号 : Y方向の当たり判定値

|ロックマンのX座標 - オブジェクトのX座標| ＜ X方向の当たり判定値
かつ
|ロックマンのY座標 - オブジェクトのY座標| ＜ Y方向の当たり判定値
のときロックマンとオブジェクトが接触したと判定される。

以下、ロックマンのサイズを16 x 24と考えたときの当たり判定値から逆算した参照番号毎の大きさリスト(X x Y)
(それぞれ X=2*(X方向の当たり判定値 - 8), Y=2*(Y方向の当たり判定値 - 12) で算出)

00  16 x  16
01  12 x  12
02  16 x 208
03 224 x  16
04  16 x  96
05   8 x   8
06   6 x   6
07   4 x   4
08  20 x  20
09  24 x  32
0A  12 x   4
0B  24 x  24
0C  20 x  24
0D  24 x  16
0E  16 x  12
0F  24 x  40

10  12 x  24
11  16 x   8
12  16 x  28
13  12 x  32
14  12 x  40
15  12 x  48
16   8 x  12
17  20 x  32
18  12 x  56
19  24 x  48
1A  16 x   4
1B   4 x  12
1C   4 x  24
1D  96 x  16
1E  80 x  16
1F  64 x  16

20   6 x  16
21  48 x  32
22  24 x   8
23   6 x   4
24  32 x  32
25  32 x  80
26 128 x  32
27  80 x 128
28   8 x  40
29  96 x  32
2A  64 x  24
2B  16 x 144
2C  64 x 144
2D  48 x  48
2E  32 x  48
2F  40 x  40

30  12 x  16
31  48 x  16
32  56 x  32
33  64 x  32
34   0 x   0
35   0 x   0
36   0 x   0
37   0 x   0
38   0 x   0
39   0 x   0
3A   0 x   0
3B   0 x   0
3C   0 x   0
3D   0 x   0
3E   0 x   0
3F   0 x   0

◇特殊武器とオブジェクトとの当たり判定

$3F155～3F168 (14) = Shot type : 特殊武器とオブジェクトとのX方向の当たり判定値
$3F141～3F154 (14) = Shot type : 特殊武器とオブジェクトとのY方向の当たり判定値

この当たり判定値は符号付整数と考える。

|特殊武器のX座標 - オブジェクトのX座標| ＜ ロックマンとオブジェクトとのX方向の当たり判定値 - 特殊武器とオブジェクトとのX方向の当たり判定値
かつ
|特殊武器のY座標 - オブジェクトのY座標| ＜ ロックマンとオブジェクトとのY方向の当たり判定値 - 特殊武器とオブジェクトとのY方向の当たり判定値
のとき特殊武器とオブジェクトが接触したと判定される。

以下、ロックマンのサイズを16 x 24と考えたときの当たり判定値から逆算したShot type毎の大きさリスト(X x Y)
(それぞれ X=2*(8 - X方向の当たり判定値), Y=2*(12 - Y方向の当たり判定値) で算出)

00   6 x   4
01   4 x   8
02  24 x   8
03   6 x  16
04  16 x   8
05  24 x   4
06  16 x  16
07 256 x 240
08   6 x   4
09  40 x  40
0A   6 x   4
0B   6 x   4
0C   8 x   8
0D  12 x  12
0E  16 x  24
0F   8 x   8
10   4 x  16
11   4 x  24
12   4 x  32
13  24 x  24


Shot type
00 ロックバスター
01 ウォーターウェーブ(アニメーションフレーム0)
02 ジャイロアタック
03 クリスタルアイ(分裂前)
04 ナパームボム(爆発前)
05 スーパーアロー
06 パワーストーン
07 グラビティーホールド
08
09 スタークラッシュ
0A
0B
0C ビート
0D 中途半端なチャージショット
0E スーパーロックバスター
0F クリスタルアイ(分裂後)
10 ウォーターウェーブ(アニメーションフレーム1, 5)
11 ウォーターウェーブ(アニメーションフレーム2, 4)
12 ウォーターウェーブ(アニメーションフレーム3)
13 ナパームボムの爆風

※ビート呼び出し中にロックバスターを撃つと、Shot typeが00に変更されビートの当たり判定が若干小さくなってしまう(？)。

--------------------------------------------------------------------

パスワードの解析結果です。

◇赤玉・青玉の意味
　赤玉:クリアしたステージ
　青玉:取得したROCKMAN5プレート


◇各列の意味
　本家では、以下のように1,2列目、3,4列目、5,6列目によって対応するクリアステージ・取得プレートの
　種類を分けている(マス目を3つの集合に分けている)。

  1 2  3 4  5 6
A□□ □□ □□
B□□ □□ □□
C□□ □□ □□
D□□ □□ □□
E□□ □□ □□
F□□ □□ □□

1,2列目:クリスタル,ナパーム : N,5プレート
3,4列目:チャージ,スター,ジャイロ : K,M,Aプレート
5,6列目:ストーン,ウェーブ,グラビティー : R,O,Cプレート


◇格子番号
　各マス目に以下のように番号をつける。
   1  2  3  4  5  6
 +------------------
A|00 04 08 0C 10 14
B|18 1C 20 24 28 2C
C|30 34 38 3C 40 44
D|48 4C 50 54 58 5C
E|60 64 68 6C 70 74
F|78 7C 80 84 88 8C

◇クリスタル,ナパーム : N,5プレート
・$2F0F1～2F0F4 クリスタル・ナパームステージをクリアしているかどうかを決める赤玉の位置
　アドレス($2F0F1 + (ビットフラグ値))に赤玉の位置を入れる(格子番号を入れる)。
　N,5プレートを取得しているかどうかを決める青玉の位置も基本的にこのデータが使われる。
　
・ビットフラグ
0000 00XX
       ||
       |+-ナパーム
       +--クリスタル
       
0000 00XX
       ||
       |+-N
       +--5

　ただし、ビットフラグ値が等しくなる場合(例えば、ナパーム・クリスタルマンステージをクリアしていて、
　N,5プレートを両方取得している場合は両方のビットフラグ値が03)、赤玉と青玉の位置が重なってしまうため、
　青玉の位置は別途定義する。

・$2F108～2F10B N,5プレートを取得しているかどうかを決める青玉の位置(赤玉とビットフラグ値が重なった場合)


◇チャージ,スター,ジャイロ : K,M,Aプレート
・$2F0F6～2F0FD チャージ・スター・ジャイロステージをクリアしているかどうかを決める赤玉の位置
　細かい点は上と同様。
　
・ビットフラグ
0000 0XXX
      |||
      ||+-ジャイロ
      |+--スター
      +---チャージ
      
0000 0XXX
      |||
      ||+-K
      |+--M
      +---A

・$2F10D～2F114 K,M,Aプレートを取得しているかどうかを決める青玉の位置(赤玉とビットフラグ値が重なった場合)


◇ストーン,ウェーブ,グラビティー : R,O,Cプレート
・$2F0FF～2F106 ストーン,ウェーブ,グラビティーステージをクリアしているかどうかを決める赤玉の位置
　細かい点は上と同様。
　
・ビットフラグ
0000 0XXX
      |||
      ||+-グラビティー
      |+--ウェーブ
      +---ストーン
      
0000 0XXX
      |||
      ||+-R
      |+--O
      +---C

・$2F116～2F11D R,O,Cプレートを取得しているかどうかを決める青玉の位置(赤玉とビットフラグ値が重なった場合)


◇パスワード復帰時の取得武器
・$2F11E～2F12D パスワード復帰時のクリアステージと取得武器の対応
　2bytesで1組。1つのステージにつき2つまでの取得武器を決められる。2つ目が必要ない場合は00を入れる。
　グラビティー,ウェーブ,ストーン,ジャイロ,スター,チャージ,ナパーム,クリスタルの順

武器番号
01 ウォーターウェーブ
02 ジャイロアタック
03 クリスタルアイ
04 ナパームボム
05 スーパーアロー
06 パワーストーン
07 グラビティーホールド
08 チャージキック
09 スタークラッシュ
0A ラッシュコイル
0B ラッシュジェット
0C ビート

-------------------------------------------------------------

各8ボスステージをクリアした際に取得できる武器のデータです。

◇8ボスステージクリア時の取得武器
・$2EF0C-2EF13 (8) = ステージ番号: $2EF14を基点とした各武器取得メッセージの先頭アドレス

武器取得メッセージ「YOU GOT ～ .」の"."(2E)の後ろ2bytesが取得武器。
1つのステージにつき2つまでの取得武器を決められる。2つ目が必要ない場合は00を入れる。
例えば、メッセージ「YOU GOT GYRO ATTACK AND RUSH JET.」の後ろの2bytesは
02 ジャイロアタック
0B ラッシュジェット
となっている。

武器番号
01 ウォーターウェーブ
02 ジャイロアタック
03 クリスタルアイ
04 ナパームボム
05 スーパーアロー
06 パワーストーン
07 グラビティーホールド
08 チャージキック
09 スタークラッシュ
0A ラッシュコイル
0B ラッシュジェット
0C ビート

-------------------------------------------------------------

スクロール・中間地点のデータです。

◇スクロールデータ
$960～977 スクロール方向 (アドレスにステージ番号 * $2000を加えてください)

20 + XX 右の後XX部屋だけ右(XX:00～1F)
40 下
60 + XX 下の後XX部屋だけ右(XX:00～1F)
80 上
A0 + XX 上の後XX部屋だけ右(XX:00～1F)


$978～98F スクロール毎の効果指定 (アドレスにステージ番号 * $2000を加えてください)
bit7 シャッターの有無
bit6 左の部屋に戻れるか
bit5-0 効果番号指定(00～3F、以下に効果を記す)

・効果指定(スクロール開始時に効果が現れる)
00で変更なし
$AE + (効果番号 - 1)*8から8bytesのデータ(全部で63個)

byte0   -> BGパレット・BGパレットアニメーションを変更(最上位bitが0なら変更なし,80,81,82,83のどれかを指定)(*)
byte1-3 -> スプライトのパレット(パレット2、透明色は省略)
byte4   -> BGバンク1を変更(00で変更なし)
byte5-7 -> スプライトのパレット(パレット3、透明色は省略)

(*)指定データ
$998 + (指定した値 - $80) * 20 (アドレスにステージ番号 * $2000を加えてください)
20bytesで1個のデータ

byte0-15  -> BGパレット
byte16-19 -> 各BGパレットのアニメーション番号

※$998-9ABはステージ開始時の設定として使われる。


◇マルチスクロール(分岐)
$9F0～A0F スクロールデータ (アドレスにステージ番号 * $2000を加えてください)

4bytesで1個のデータ(8個分持てる)
byte0 -> スクロールを使用する部屋番号
byte1 -> スクロール方向(40(下),80(上)のみ？)
byte2 -> スクロール先の部屋番号
byte3 -> スクロール後の通常のスクロールデータ番号


◇中間地点
$2F176～2F1D5 中間地点データ
3bytesで1個のデータ。1つのステージにつき2つもてる。
$2F176 + ステージ番号*6で各ステージの1つ目のデータの先頭(2つ目はその3bytes後)

byte0 -> 画面の番号
byte1 -> どのスクロールデータを使うか
byte2 -> 復帰時のBGバンク、BGアニメーション、BGパレット、BGパレットアニメーションの指定(*)

(*)指定データ
$161CD + (指定した値 - 1) * 24から24bytesのデータ

byte0     -> BGバンク0
byte1     -> BGバンク1
byte2     -> ダミーデータ
byte3     -> BGアニメーション番号
byte4-19  -> BGパレット
byte20-23 -> 各BGパレットのアニメーション番号

---------------------------------------------------------------------------

シャッターのデータです。

◇シャッターを開く位置
アドレス($03D241 + (ステージ番号 * 8))から8bytesのデータ。

byte0-1 -> シャッターの一番下の16x16チップの左上8x8タイルに対応するネームテーブルのアドレス(ビッグエンディアン)
byte2   -> 32x32チップ単位でのシャッター画像に上書きするチップの位置
byte3   -> byte2で指定した32x32チップの左上、右上、左下、右下のどこから埋めるかを指定(0,1,2,3)
byte4-6 -> シャッター画像に上書きする16x16チップ番号(下・中・上の順)
byte7   -> ダミーデータ


◇シャッターを閉じる位置
アドレス($03D2C1 + (ステージ番号 * 5))から5bytesのデータ。
